JOB ID,TEST STATUS,TEST END,TEST SUBMISSION ID,FAILED COMMENTS,SCRIPT NAME,SUITE NAME,CHANGED BY,ANALYSIS,ANALYSED BY,CATEGORY,TEST INFO ID,TICKET NUMBER,UPDATED TIME
370351,FAILED,5/25/2021 14:54,9365735,Ignoring because of core pattern rule ID 1,Lsp_ping_L2Circuit_inter_provider.pl_715_Default,RPD_PC_MPLS,pct-admin,,,,,,
370351,ABORTED,5/25/2021 14:17,9365735,,MPLS_hardening1.pl_19235_Default,RPD_PC_MPLS,,,,,,,
370351,FAILED,5/25/2021 15:01,9365735,Ignoring because of core pattern rule ID 1,pr81961.pl_1220_Default,RPD_PC_MPLS,pct-admin,,,,,,
370351,FAILED,5/25/2021 14:56,9365735,Ignoring because of core pattern rule ID 1,PR_1215382.pl_19262_Default,RPD_PC_MPLS,pct-admin,,,,,,
370351,FAILED,5/25/2021 16:24,9365735,Ignoring because of core pattern rule ID 1,mx_static_sr_label_stack_dataplane_12.robot_172x75d70_rli31511_virtual_default,RPD_PC_MPLS,pct-admin,,,,,,
370351,ABORTED,5/25/2021 14:07,9365732,,ospfv3_mib_rli3760_ge.pl_2571_Default,RPD_PC_OSPF,,,,,,,
370351,ABORTED,5/25/2021 14:17,9365732,,142_PR_960370_OSPF.pl_1892_Default,RPD_PC_OSPF,,,,,,,
370478,FAILED,5/25/2021 13:56,505426,,,unit-test,,,,,,,
370351,FAILED,5/25/2021 16:54,9365732,"Ignoring because of core pattern rule ID 1,1",ospf_sr_srgb_advance.robot_19.1r1_rli33637_virtual_mx,RPD_PC_OSPF,pct-admin,,,,,,
370351,FAILED,5/25/2021 14:54,9365740,,rpd_cd2.pl_16_Default,RPD_S2C_VMX,,,,,,,
370351,FAILED,5/25/2021 15:38,9365737,"Same Failure is seen in the baseline, Please refer DR ID 9365086",133_adpc_5631_igmpsnooping_p2mp_2.pl_RIAD_VSPIRENT,RPD_PC_P2MP,pct-admin,,,,,,
370351,ABORTED,5/25/2021 14:17,9365731,,161_MOD_PR_1018524_ISIS_2.pl_431_Default,RPD_PC_ISIS,,,,,,,
370351,FAILED,5/25/2021 15:14,9365731,Ignoring because of core pattern rule ID 1,JC133_8321_NSR_isis.pl_2359_Default,RPD_PC_ISIS,pct-admin,,,,,,
370357,ABORTED,5/25/2021 14:39,9365727,,182R1_RLI_34996_MX_IGMP_Snooping_EVPNoMPLS_INTRA_VLAN_INTER_VLAN_Multicast_Access_Port_2_3.robot_PCT_2_1,RPD_PC_EVPN,,,,,,,
370357,FAILED,5/25/2021 16:36,9365727,Updated on 2021-05-26 10:37:44 by: uakash reason: rerun passed 9367103.,182R1_RLI_34996_MX_IGMP_Snooping_EVPNoMPLS_INTRA_VLAN_INTER_VLAN_Multicast_Trunk_Port_2.robot_PCT_2_1,RPD_PC_EVPN,uakash,,,,,,
370357,ABORTED,5/25/2021 13:59,9365727,This script is not supported for this Branch/Release,evpn_type5_4_1.robot_vex,RPD_PC_EVPN,pct-admin,,,,,,
370357,ABORTED,5/25/2021 14:08,9365707,,ipv6_support_for_discard_interface_2.robot_129327_Default,KERNEL_PC_IPV6,,,,,,,
370357,FAILED,5/25/2021 14:05,9365705,"Ignoring because of core pattern rule ID 1,1",vMX_toxicity.pl_146502_Default,RPD_PC_VMX-SANITY,pct-admin,,,,,,
370402,FAILED,5/25/2021 15:05,9365694,Ignoring because of core pattern rule ID 1,101_trio_MC_LAG_3PE.pl_RIAD_VSTOUT,PFE_PC_VMX_MCLAG_VEA,pct-admin,,,,,,
370423,FAILED,5/25/2021 14:08,505091,,,unit-test,,,,,,,
